secs,km,alt
296,2.05747,524
297,2.06477,523.5
298,2.07207,523
299,2.07938,522.5
300,2.08668,522
301,2.09398,521.7
302,2.10128,521.4
303,2.10859,521.1
304,2.11589,520.8
305,2.12315,520.067
306,2.13041,519.333
307,2.13767,518.6
308,2.14435,518.12
309,2.15103,517.64
310,2.1577,517.16
311,2.16438,516.68
312,2.17106,516.2
313,2.1784,515.6
314,2.18574,515
315,2.19308,514.4
316,2.20042,513.8
317,2.20521,511.6
318,2.21518,509.6
319,2.21898,507.8
320,2.22444,507
321,2.2299,506.2
322,2.24174,504.6
323,2.24667,503.2
324,2.2524,502
325,2.26439,499.8
326,2.27002,498.8
327,2.27424,498.3
328,2.27846,497.8
329,2.2876,497
330,2.29432,496.6
331,2.30103,496.2
332,2.30775,495.8
333,2.31447,495.6
334,2.32118,495.4
335,2.3279,495.2
336,2.33704,494.7
337,2.34617,494.2
338,2.35226,494
339,2.35834,493.8
340,2.36443,493.6
341,2.36873,492.6
342,2.37792,492.267
343,2.38711,491.933
344,2.3963,491.6
345,2.40319,491.5
346,2.41009,491.4
347,2.41698,491.3
348,2.42387,491.2
349,2.43076,491.05
350,2.43765,490.9
351,2.44455,490.75
352,2.45144,490.6
353,2.4575,490.35
354,2.46357,490.1
355,2.46963,489.85
356,2.47569,489.6
357,2.48378,489.4
358,2.49186,489.2
359,2.49995,489
360,2.5066,488.667
361,2.51326,488.333
362,2.51991,488
363,2.52656,487.867
364,2.53322,487.733
365,2.5413,486.6
366,2.54714,486.44
367,2.55298,486.28
368,2.55881,486.12
369,2.56465,485.96
370,2.57049,485.8
371,2.57778,485.7
372,2.58508,485.6
373,2.59238,485.5
374,2.59967,485.4
375,2.60647,485.133
376,2.61328,484.867
377,2.62008,484.6
378,2.631,484
379,2.63763,483.733
380,2.64427,483.467
381,2.6509,483.2
382,2.65706,483.067
383,2.66321,482.933
384,2.66937,482.8
385,2.67743,482.4
386,2.68361,482.3
387,2.68978,482.2
388,2.70023,481.8
389,2.70782,481.8
390,2.71235,481.6
391,2.71797,481.6
392,2.728,481.6
393,2.73431,481.6
394,2.74063,481.6
395,2.74694,481.6
396,2.75256,481.5
397,2.75819,481.4
398,2.76778,481.4
399,2.77775,481.2
400,2.78347,481.133
401,2.78918,481.067
402,2.7973,480.8
403,2.80417,480.75
404,2.81103,480.7
405,2.8179,480.65
406,2.82477,480.6
407,2.83164,480.5
408,2.83851,480.4
409,2.84538,480.3
410,2.85225,480.2
411,2.85834,480.1
412,2.86444,480
413,2.87054,479.9
414,2.87663,479.8
415,2.88462,479.667
416,2.89262,479.533
417,2.90061,479.4
418,2.90764,479.2
419,2.91467,479
420,2.92281,478.7
421,2.93094,478.4
422,2.93587,477.8
423,2.9416,477
424,2.94824,476.5
425,2.95487,476
426,2.96079,475.5
427,2.96671,475
428,2.97429,474.5
429,2.98188,474
430,2.98939,473.533
